open,high,low,close,barSize,date
123.7275,123.7575,123.6875,123.7275,MIN_15,2015-06-17 01:30:00
123.7275,123.8675,123.715,123.8625,MIN_15,2015-06-17 01:45:00
123.8625,123.8625,123.8025,123.82,MIN_15,2015-06-17 02:00:00
123.82,123.9325,123.8125,123.9125,MIN_15,2015-06-17 02:15:00
123.9125,123.9425,123.8725,123.8825,MIN_15,2015-06-17 02:30:00
123.8825,123.9425,123.8525,123.9175,MIN_15,2015-06-17 02:45:00
123.9175,123.9725,123.8975,123.955,MIN_15,2015-06-17 03:00:00
123.955,123.9675,123.925,123.9625,MIN_15,2015-06-17 03:15:00
123.9625,123.9775,123.8925,123.925,MIN_15,2015-06-17 03:30:00
123.925,123.9775,123.9075,123.915,MIN_15,2015-06-17 03:45:00
123.915,123.9575,123.9025,123.945,MIN_15,2015-06-17 04:00:00
123.945,123.9475,123.87,123.8725,MIN_15,2015-06-17 04:15:00
123.8725,123.8875,123.8575,123.8825,MIN_15,2015-06-17 04:30:00
123.8825,123.915,123.8425,123.8675,MIN_15,2015-06-17 04:45:00
123.8675,123.9325,123.8625,123.9175,MIN_15,2015-06-17 05:00:00
123.9175,124.0025,123.9175,124.0025,MIN_15,2015-06-17 05:15:00
124.0025,124.0425,123.9825,123.9825,MIN_15,2015-06-17 05:30:00
123.9825,124.0375,123.9675,123.9775,MIN_15,2015-06-17 05:45:00
123.9775,124.0325,123.9725,124.0025,MIN_15,2015-06-17 06:00:00
124.0025,124.0225,123.9825,123.9975,MIN_15,2015-06-17 06:15:00
123.9975,124.0375,123.9775,124.0275,MIN_15,2015-06-17 06:30:00
124.0275,124.07,124.0025,124.0575,MIN_15,2015-06-17 06:45:00
124.0575,124.1075,124.0575,124.0925,MIN_15,2015-06-17 07:00:00
124.0925,124.1675,124.0775,124.1625,MIN_15,2015-06-17 07:15:00
124.1625,124.2675,124.1525,124.2675,MIN_15,2015-06-17 07:30:00
124.2675,124.3075,124.225,124.2425,MIN_15,2015-06-17 07:45:00
124.2425,124.2625,124.1725,124.1825,MIN_15,2015-06-17 08:00:00
124.1825,124.2325,124.1575,124.1625,MIN_15,2015-06-17 08:15:00
124.1625,124.2825,124.1625,124.2225,MIN_15,2015-06-17 08:30:00
124.2225,124.2525,124.1975,124.2525,MIN_15,2015-06-17 08:45:00
124.2525,124.2875,124.2375,124.2375,MIN_15,2015-06-17 09:00:00
124.2375,124.2625,124.2225,124.2475,MIN_15,2015-06-17 09:15:00
124.2475,124.2475,124.18,124.1875,MIN_15,2015-06-17 09:30:00
124.1875,124.225,124.16,124.2225,MIN_15,2015-06-17 09:45:00
124.2225,124.2575,124.2025,124.2225,MIN_15,2015-06-17 10:00:00
124.2225,124.225,124.185,124.1875,MIN_15,2015-06-17 10:15:00
124.1875,124.2275,124.1825,124.185,MIN_15,2015-06-17 10:30:00
124.185,124.31,124.1325,124.26,MIN_15,2015-06-17 10:45:00
124.26,124.4525,123.6025,123.67,MIN_15,2015-06-17 11:00:00
123.67,123.945,123.5925,123.87,MIN_15,2015-06-17 11:15:00
123.87,123.935,123.5125,123.5825,MIN_15,2015-06-17 11:30:00
123.5825,123.5925,123.3125,123.3725,MIN_15,2015-06-17 11:45:00
123.3725,123.4175,123.2525,123.34,MIN_15,2015-06-17 12:00:00
123.34,123.3925,123.21,123.365,MIN_15,2015-06-17 12:15:00
123.365,123.44,123.3475,123.435,MIN_15,2015-06-17 12:30:00
123.435,123.445,123.3775,123.4025,MIN_15,2015-06-17 12:45:00
123.4025,123.4375,123.4,123.42,MIN_15,2015-06-17 13:00:00
123.42,123.46,123.415,123.4575,MIN_15,2015-06-17 13:15:00
123.4575,123.4825,123.415,123.4175,MIN_15,2015-06-17 13:30:00
123.4175,123.465,123.4175,123.425,MIN_15,2015-06-17 13:45:00
123.4175,123.4325,123.3975,123.43,MIN_15,2015-06-17 14:15:00
123.43,123.445,123.415,123.4325,MIN_15,2015-06-17 14:30:00
123.4325,123.465,123.415,123.425,MIN_15,2015-06-17 14:45:00
123.425,123.4575,123.42,123.455,MIN_15,2015-06-17 15:00:00
123.455,123.465,123.435,123.455,MIN_15,2015-06-17 15:15:00
123.455,123.47,123.445,123.4625,MIN_15,2015-06-17 15:30:00
123.4625,123.5375,123.4625,123.4825,MIN_15,2015-06-17 15:45:00
123.4825,123.4925,123.46,123.485,MIN_15,2015-06-17 16:00:00
123.485,123.565,123.4825,123.56,MIN_15,2015-06-17 16:15:00
123.56,123.6125,123.5375,123.545,MIN_15,2015-06-17 16:30:00
123.545,123.605,123.5175,123.5775,MIN_15,2015-06-17 16:45:00
123.5775,123.585,123.455,123.465,MIN_15,2015-06-17 17:00:00
123.465,123.5025,123.4275,123.4575,MIN_15,2015-06-17 17:15:00
123.4575,123.4875,123.4125,123.415,MIN_15,2015-06-17 17:30:00
123.415,123.4175,123.3625,123.4125,MIN_15,2015-06-17 17:45:00
123.4125,123.4225,123.3375,123.3925,MIN_15,2015-06-17 18:00:00
123.3925,123.4175,123.2875,123.3225,MIN_15,2015-06-17 18:15:00
123.3225,123.3425,123.23,123.2725,MIN_15,2015-06-17 18:30:00
123.2725,123.29,123.1825,123.2525,MIN_15,2015-06-17 18:45:00
123.2525,123.2575,123.2075,123.2475,MIN_15,2015-06-17 19:00:00
